name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned
Daň                    z hazardních her,1035860832.82,31. 1. 2019,2019-01-31,2019,1,31,31,Daň z hazardních her,2019 Daň z hazardních her,2000-01-31
Daň                    z technických her,1192079146,31. 1. 2019,2019-01-31,2019,1,31,31,Daň z technických her,2019 Daň z technických her,2000-01-31
DPH,47546850816.89,15. 2. 2019,2019-02-15,2019,2,15,46,DPH,2019 DPH,2000-02-15
DPPO,1532137493.08,15. 2. 2019,2019-02-15,2019,2,15,46,DPPO,2019 DPPO,2000-02-15
DPFO                    závislá činnost,29264169435.04,15. 2. 2019,2019-02-15,2019,2,15,46,DPFO závislá činnost,2019 DPFO závislá činnost,2000-02-15
DPFO                    zvláštní sazba,2296631767.47,15. 2. 2019,2019-02-15,2019,2,15,46,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-02-15
DPFO                    podávajících přiznání,628935113.51,15. 2. 2019,2019-02-15,2019,2,15,46,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-02-15
Daň                    z hazardních her,1019881653.88,15. 2. 2019,2019-02-15,2019,2,15,46,Daň z hazardních her,2019 Daň z hazardních her,2000-02-15
Daň                    z technických her,1267835785,15. 2. 2019,2019-02-15,2019,2,15,46,Daň z technických her,2019 Daň z technických her,2000-02-15
DPH,65738069386.55,28. 2. 2019,2019-02-28,2019,2,28,59,DPH,2019 DPH,2000-02-28
DPPO,2252304020.32,28. 2. 2019,2019-02-28,2019,2,28,59,DPPO,2019 DPPO,2000-02-28
DPFO                    závislá činnost,35520465275.58,28. 2. 2019,2019-02-28,2019,2,28,59,DPFO závislá činnost,2019 DPFO závislá činnost,2000-02-28
DPFO                    zvláštní sazba,2775656210.8,28. 2. 2019,2019-02-28,2019,2,28,59,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-02-28
DPFO                    podávajících přiznání,1050259465.19,28. 2. 2019,2019-02-28,2019,2,28,59,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-02-28
Daň                    z hazardních her,1023722301.31,28. 2. 2019,2019-02-28,2019,2,28,59,Daň z hazardních her,2019 Daň z hazardních her,2000-02-28
Daň                    z technických her,1323004732,28. 2. 2019,2019-02-28,2019,2,28,59,Daň z technických her,2019 Daň z technických her,2000-02-28
DPH,67646695992.07,15. 3. 2019,2019-03-15,2019,3,15,74,DPH,2019 DPH,2000-03-15
DPPO,33498136332.19,15. 3. 2019,2019-03-15,2019,3,15,74,DPPO,2019 DPPO,2000-03-15
DPFO                    závislá činnost,44496358727.46,15. 3. 2019,2019-03-15,2019,3,15,74,DPFO závislá činnost,2019 DPFO závislá činnost,2000-03-15
DPFO                    zvláštní sazba,3383314968.4,15. 3. 2019,2019-03-15,2019,3,15,74,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-03-15
DPFO                    podávajících přiznání,3574866644.99,15. 3. 2019,2019-03-15,2019,3,15,74,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-03-15
Daň                    z hazardních her,1061962398.31,15. 3. 2019,2019-03-15,2019,3,15,74,Daň z hazardních her,2019 Daň z hazardních her,2000-03-15
Daň                    z technických her,1412833552,15. 3. 2019,2019-03-15,2019,3,15,74,Daň z technických her,2019 Daň z technických her,2000-03-15
DPH,92494337785.7,29. 3. 2019,2019-03-29,2019,3,29,88,DPH,2019 DPH,2000-03-29
DPPO,40548656567.52,29. 3. 2019,2019-03-29,2019,3,29,88,DPPO,2019 DPPO,2000-03-29
DPFO                    závislá činnost,49823448649.2,29. 3. 2019,2019-03-29,2019,3,29,88,DPFO závislá činnost,2019 DPFO závislá činnost,2000-03-29
DPFO                    zvláštní sazba,3984628503.8,29. 3. 2019,2019-03-29,2019,3,29,88,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-03-29
DPFO                    podávajících přiznání,8195556707.82,29. 3. 2019,2019-03-29,2019,3,29,88,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-03-29
Daň                    z hazardních her,1068340105.31,29. 3. 2019,2019-03-29,2019,3,29,88,Daň z hazardních her,2019 Daň z hazardních her,2000-03-29
Daň                    z technických her,1463578921.5,29. 3. 2019,2019-03-29,2019,3,29,88,Daň z technických her,2019 Daň z technických her,2000-03-29
DPH,94290518009.82,15. 4. 2019,2019-04-15,2019,4,15,105,DPH,2019 DPH,2000-04-15
DPPO,43921830550.82,15. 4. 2019,2019-04-15,2019,4,15,105,DPPO,2019 DPPO,2000-04-15
